Rain,Temperature,RH,DewPoint,WindSpeed,GustSpeed,WindDirection,PLANTA,FRUTO,SEVERIDAD (%),INCIDENCIA
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,1,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,2,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,6,0,0
